Date,Description,Amount
9/02,"HCCLAIMPMT Davis Vision
CCD
1113051991
091000015210804
TRN*1*38749373*1113051991*EEEX
CHCKEX~",120.0
9/02,"HCCLAIMPMT Superior Vision
CCD
W133741352
091000015215560
TRN*1*38754532*1133741352*1832
565",148.0
9/02,"420 FSL ADMIN FAA
CCD
7860773195
077052602025082",245.0
9/02,"DEPOSIT MERCHANT BANKCD
CCD",1021.71
9/02,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1072.73
9/02,"MTOT DEP SYNCHRONY BANK
CCD
3061537262
534812028627526",1100.46
9/02,"HCCLAIMPMT Davis Vision
CCD
1113051991
091000015212540
TRN*1*38751197*1113051991 * FECH
CKFE~",1374.04
9/02,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1397.45
9/02,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1768.68
9/03,"HCCLAIMPMT Superior Vision
CCD
W133741352
091000015594505
TRN*1*38777751*1133741352*1832
565~",97.0
9/03,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",489.76
9/03,DDA REGULAR DEPOSIT,974.93
9/04,"1010706419 FAA ADMIN
CCD
4860773195
077346622025090",640.0
9/04,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1228.97
9/05,"1010717724 ESSILOR SAFETY
CCD
J860773195
077525662025090",30.0
9/05,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1747.93
9/05,"Reimb
EYETOPIA TPA
CCD
1742807302
472851483",10224.17
9/08,MTOT DEP SYNCHRONY BANK,236.62
9/08,"MTOT DEP SYNCHRONY BANK
CCD
3061537",347.99
9/08,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1352.94
9/08,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1589.76
9/09,"HCCLAIMPMT UHC Spectera VSN
CCD
1521260282
472851483
TRN*1*120190235*1521260282*000
000773",65.0
9/09,"HCCLAIMPMT UHC Spectera VSN
CCD",351.0
9/09,"HCCLAIMPMT Superior Vision
CCD
W133741352
091000016379432
TRN*1*38883713*1133741352*1832
565~",480.0
9/09,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1174.81
9/10,"HCCLAIMPMT Davis Vision
CCD
1113051991
091000017739344
TRN*1*38916931*1113051991*EEEX
CHCKEX~",70.0
9/10,"1010749426 FAA ADMIN
CCD
4860773195
077875632025090",210.0
9/10,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",2115.74
9/11,"1010771421 ESSILOR SAFETY
CCD
J860773195
078061952025091",63.0
9/11,"HCCLAIMPMT Superior Vision
CCD
W133741352
091000017821202
TRN 1 38944552*1133741352*1832
565~",296.0
9/11,"DEPOSIT MERCHANT BANKCD
CCD",1575.39
9/12,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",412.95
9/15,"HCCLAIMPMT Davis Vision
CCD
1113051991
091000017956382
TRN*1*38986895*1113051991* FECH
CKFE~",120.13
9/15,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1247.85
9/15,"DEPOSIT MERCHANT BANKCD
CCD
C592126793
266038425887",1327.21
